id,game_title,game_team_home,game_team_away,game_date,game_time,game_score,goals_for,goals_against,game_goals,game_assists,game_redcards,game_yellowcards,game_status,game_type,game_poll,game_season,game_ground
,Piliers Kernilis — Ergué Armel Foot Corpo,Piliers Kernilis,Ergué Armel Foot Corpo,2023-09-24,10:00:00,0-0,0,0,,,,,planned,coupe,,2023-2024,2
,Piliers Kernilis — Quimper Italia Calcio,Piliers Kernilis,Quimper Italia Calcio,2023-10-08,10:00:00,0-0,0,0,,,,,planned,coupe,,2023-2024,2
,RC Kemper — Piliers Kernilis,RC Kemper,Piliers Kernilis,2023-10-22,10:00:00,0-0,0,0,,,,,planned,coupe,,2023-2024,2
,Entente Concarnoise — Piliers Kernilis,Entente Concarnoise,Piliers Kernilis,2023-11-12,10:00:00,0-0,0,0,,,,,planned,coupe,,2023-2024,2
