id,game_title,game_team_home,game_team_away,game_date,game_time,game_score,goals_for,goals_against,game_goals,game_assists,game_redcards,game_yellowcards,game_status,game_type,game_poll,game_season,game_ground
1,Piliers Kernilis — AS Cuzon,Piliers Kernilis,AS Cuzon,2024-09-08,10:00:00,0-0,0,0,,,,,planned,championnat,161,2024-2025,2
2,Le Vallon — Piliers Kernilis,Le Vallon,Piliers Kernilis,2024-09-22,10:00:00,0-0,0,0,,,,,planned,championnat,162,2024-2025,2
3,Entente Kernilis — Piliers Kernilis,Entente Kernilis,Piliers Kernilis,2024-10-06,10:00:00,0-0,0,0,,,,,planned,championnat,163,2024-2025,2
4,Sticmoux NT — Piliers Kernilis,Sticmoux NT,Piliers Kernilis,2024-11-03,10:00:00,0-0,0,0,,,,,planned,championnat,164,2024-2025,2
5,Piliers Kernilis — Douarnenez Korpo,Piliers Kernilis,Douarnenez Korpo,2024-12-01,10:00:00,0-0,0,0,,,,,planned,championnat,165,2024-2025,2
6,Piliers Kernilis — Clohars Fouesnant Fc,Piliers Kernilis,Clohars Fouesnant Fc,2024-12-15,10:00:00,0-0,0,0,,,,,planned,championnat,166,2024-2025,2
7,Cosmos Quimper — Piliers Kernilis,Cosmos Quimper,Piliers Kernilis,2025-01-12,10:00:00,0-0,0,0,,,,,planned,championnat,167,2024-2025,2
8,Galactics — Piliers Kernilis,Galactics,Piliers Kernilis,2025-01-19,10:00:00,0-0,0,0,,,,,planned,championnat,168,2024-2025,2
9,AS Cuzon — Piliers Kernilis,AS Cuzon,Piliers Kernilis,2025-01-26,10:00:00,0-0,0,0,,,,,planned,championnat,169,2024-2025,2
10,Piliers Kernilis — Le Vallon,Piliers Kernilis,Le Vallon,2025-02-02,10:00:00,0-0,0,0,,,,,planned,championnat,170,2024-2025,2
11,Piliers Kernilis — Entente Kernilis,Piliers Kernilis,Entente Kernilis,2025-02-23,10:00:00,0-0,0,0,,,,,planned,championnat,171,2024-2025,2
12,Piliers Kernilis — Sticmoux NT,Piliers Kernilis,Sticmoux NT,2025-03-02,10:00:00,0-0,0,0,,,,,planned,championnat,172,2024-2025,2
13,Douarnenez Korpo — Piliers Kernilis,Douarnenez Korpo,Piliers Kernilis,2025-03-23,10:00:00,0-0,0,0,,,,,planned,championnat,173,2024-2025,2
14,Clohars Fouesnant Fc — Piliers Kernilis,Clohars Fouesnant Fc,Piliers Kernilis,2025-04-06,10:00:00,0-0,0,0,,,,,planned,championnat,174,2024-2025,2
15,Piliers Kernilis — Cosmos Quimper,Piliers Kernilis,Cosmos Quimper,2025-04-27,10:00:00,0-0,0,0,,,,,planned,championnat,175,2024-2025,2
16,Piliers Kernilis — Galactics,Piliers Kernilis,Galactics,2025-05-18,10:00:00,0-0,0,0,,,,,planned,championnat,176,2024-2025,2
